"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
7,3;5,8;0;"RDB_Nominal.lag_12";"SpreadOAT10Y6M.pct.lag_12";624,81;-4,46;"Level";"Growth_rate";1;1;0,27;1;0,88;0;65;0,83
7,3;12,9;0;"EURONEXT_CAC40.lag_1";"EUR006M_Index.lag_1";2,91;-12543,63;"Level";"Level";1;1;-0,68;0;0,02;0;98;0,81
7,3;13,7;0;"EURONEXT_CAC40.t";"EUR003M_Index.lag_1";3,06;-12904,36;"Level";"Level";1;1;-0,64;0;0,04;0;30;0,8
7,3;13,4;0;"EURONEXT_CAC40.t";"EUR003M_Index.lag_3";2,62;-13225,15;"Level";"Level";1;1;-0,67;0;0,11;0;28;0,8
7,3;7,2;0;"EUROSTAT_GDPEuroArea.pct.lag_12";"INSEE_PIBFR.pct.lag_1";2316,22;2992,07;"Growth_rate";"Growth_rate";1;1;0,46;1;0,29;0;94;0,82
7,3;8,7;0;"EUROSTAT_GDPEuroArea.pct.lag_12";"Spread10Y3M.lag_3";4810,01;7495,89;"Growth_rate";"Level";1;1;-0,7;1;0,47;0;4;0,82
7,3;8,6;0;"EUROSTAT_GDPEuroArea.pct.lag_12";"Spread10Y6M.lag_3";4695,54;7315,2;"Growth_rate";"Level";1;1;-0,68;1;0,51;0;2;0,82
7,3;11,6;0;"INSEE_ConfianceMenagesFR.lag_1";"CPI_Excl_Tabac.t";395,74;1925,62;"Level";"Level";1;1;0,68;1;0,48;0;50;0,82
7,3;14,3;0;"EUR006M_Index.lag_1";"CPI_Excl_Tabac.lag_3";-12653,9;1668,49;"Level";"Level";1;1;-0,66;1;0,35;0;88;0,81
7,3;14,8;0;"EUR003M_Index.lag_1";"CPI_Excl_Tabac.lag_3";-12710,24;1893,96;"Level";"Level";1;1;-0,63;1;0,33;0;90;0,81
7,3;14,2;0;"EUR003M_Index.lag_3";"CPI_Excl_Tabac.lag_3";-12927,55;1704,08;"Level";"Level";1;1;-0,65;1;0,33;0;98;0,81
7,3;12,8;0;"EUR003M_Index.t";"INSEE_ProductionIndustrielle_France.t";-11474,25;769,62;"Level";"Level";1;1;-0,69;1;0,06;0;41;0,81
7,3;11,6;0;"INSEE_ConfianceMenagesFR.lag_3";"INSEE_PIBFR.pct.t";476,2;1167,08;"Level";"Growth_rate";1;1;0,72;0;0,02;0;34;0,78
7,3;12,5;0,01;"EUR003M_Index.lag_3";"PIB_Reel.pct.t";-14326,93;1121,69;"Level";"Growth_rate";1;1;-0,57;1;0,04;0;26;0,79
7,3;11,5;0;"EUR006M_Index.t";"Spread5Y3M.t";-16930,8;5688,68;"Level";"Level";1;1;0,21;1;0,07;0;91;0,82
7,3;11,8;0;"EUR006M_Index.lag_1";"Spread5Y3M.t";-16604,68;4785,83;"Level";"Level";1;1;0,17;1;0,07;0;86;0,82
7,3;11,8;0;"EUR006M_Index.t";"Spread10Y3M.t";-17589,94;3615,55;"Level";"Level";1;1;0,36;1;0,1;0;74;0,81
7,3;11,8;0,01;"EUR006M_Index.lag_1";"Spread10Y3M.t";-17187,86;3049,74;"Level";"Level";1;1;0,32;0;0,08;0;73;0,81
7,3;11,7;0;"EUR006M_Index.t";"Spread10Y6M.t";-17441,24;3630,69;"Level";"Level";1;1;0,32;1;0,11;0;76;0,81
7,3;12,1;0;"EUR006M_Index.t";"Spread5Y3M.lag_1";-17335,5;5196,16;"Level";"Level";1;1;0,31;1;0,18;0;73;0,81
7,3;12,3;0;"EUR006M_Index.lag_1";"Spread5Y3M.lag_1";-16985,09;4410,87;"Level";"Level";1;1;0,27;1;0,14;0;75;0,81
7,3;11,8;0;"EUR006M_Index.t";"Spread10Y3M.lag_1";-18015,36;3578,48;"Level";"Level";1;1;0,43;1;0,09;0;74;0,81
7,3;12,2;0;"EUR006M_Index.t";"Spread5Y6M.lag_1";-17097,78;5182,17;"Level";"Level";1;1;0,26;1;0,18;0;77;0,81
7,3;12,3;0,01;"EUR006M_Index.lag_1";"SpreadOAT10Y6M.lag_1";-17913,01;2006,73;"Level";"Level";1;1;0,55;0;0,05;0;47;0,8
7,3;12,5;0;"EUR006M_Index.lag_1";"CPI_Excl_Tabac.Diff.t";-15214,24;1323,62;"Level";"Difference";1;1;-0,25;0;0,07;0;30;0,79
7,3;13,2;0,03;"EUR006M_Index.lag_1";"SP_SP500.Diff.t";-15836,55;5,63;"Level";"Difference";1;1;-0,04;1;0,03;0;10;0,78
7,3;12,2;0;"EUR006M_Index.lag_1";"RDB_Nominal.pct.lag_1";-11109,44;1535,93;"Level";"Growth_rate";1;1;-0,82;1;0,26;0;27;0,8
7,3;12,9;0;"EUR003M_Index.lag_1";"RDB_Nominal.pct.lag_1";-10852,11;1737,33;"Level";"Growth_rate";1;1;-0,81;1;0,12;0;28;0,8
7,3;12,4;0;"EUR003M_Index.lag_3";"RDB_Nominal.pct.lag_3";-12499,77;1131,18;"Level";"Growth_rate";1;1;-0,8;1;0,18;0;12;0,79
7,3;10,7;0;"INSEE_ConfianceMenagesFR.lag_3";"SP_SP500.lag_12";283,68;8,08;"Level";"Level";1;1;0,9;0;0,41;0;55;0,81
7,3;11,2;0;"INSEE_ConfianceMenagesFR.lag_3";"INSEE_ConsommationFinaleMenagesFR.pct.lag_12";399,7;2438,05;"Level";"Growth_rate";1;1;0,83;0;0,09;0;36;0,79
7,4;5,1;0;"SP_SP500.t";"";13,94;NA;"Level";NA;1;NA;0;1;0,48;0;5;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"";615,12;NA;"Level";NA;1;NA;0;1;0,54;0;51;0,83
7,4;4,8;0;"RDB_Nominal.lag_12";"STOXX_EUROSTOXX50.t";631,98;-1,04;"Level";"Level";1;1;0,47;1;0,11;0;33;0,83
7,4;4,9;0;"RDB_Nominal.lag_12";"STOXX_EUROSTOXX50.lag_1";620,35;-0,3;"Level";"Level";1;1;0,49;1;0,51;0;45;0,83
7,4;4,8;0;"RDB_Nominal.lag_12";"EURONEXT_CAC40.t";659,18;-0,83;"Level";"Level";1;1;0,83;1;0,09;0;34;0,83
7,4;5,1;0;"SP_SP500.t";"EURONEXT_CAC40.lag_1";14,98;-0,83;"Level";"Level";1;1;0,86;1;0,77;0;4;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"EURONEXT_CAC40.lag_1";618,39;-0,06;"Level";"Level";1;1;0,82;1;0,61;0;50;0,83
7,4;5,5;0;"SP_SP500.t";"Chomage.pct.lag_12";14,76;59,49;"Level";"Growth_rate";1;1;-0,83;0;0,76;0;4;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"Chomage.pct.lag_12";609,63;-9,64;"Level";"Growth_rate";1;1;-0,8;1;0,59;0;51;0,83
7,4;9,3;0;"SP_SP500.lag_1";"EUSA5_Curncy.lag_1";12,41;-2313,46;"Level";"Level";1;1;-0,49;1;0,3;0;60;0,81
7,4;10,8;0;"SP_SP500.lag_1";"EUSA5_Curncy.lag_3";12,16;-2201,06;"Level";"Level";1;1;-0,57;1;0,45;0;58;0,81
7,4;14,1;0;"SP_SP500.lag_3";"INSEE_ConfianceMenagesFR.lag_1";7,56;306,43;"Level";"Level";1;1;0,84;0;0,43;0;58;0,8
7,4;5,5;0;"SP_SP500.t";"Chomage.t";12,3;-1213,52;"Level";"Level";1;1;-0,89;0;0,43;0;2;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"Chomage.t";581,12;-580,79;"Level";"Level";1;1;-0,89;0;0,4;0;49;0,83
7,4;5,7;0;"SP_SP500.t";"CPI_Excl_Tabac.t";13,67;94,27;"Level";"Level";1;1;0,89;0;0,41;0;4;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"CPI_Excl_Tabac.t";629,64;-118,39;"Level";"Level";1;1;0,88;1;0,67;0;49;0,83
7,4;5,4;0;"SP_SP500.t";"Chomage.lag_1";12,92;-775,56;"Level";"Level";1;1;-0,89;0;0,47;0;3;0,8
7,4;5,2;0;"SP_SP500.t";"CPI_Excl_Tabac.lag_1";13,88;22,41;"Level";"Level";1;1;0,86;1;0,14;0;4;0,8
7,4;4,8;0;"RDB_Nominal.lag_12";"CPI_Excl_Tabac.lag_1";661,97;-415,8;"Level";"Level";1;1;0,87;1;0,6;0;59;0,83
7,4;5;0;"SP_SP500.t";"Chomage.lag_3";14,57;509,67;"Level";"Level";1;1;-0,89;1;0,22;0;6;0,8
7,4;5,3;0;"SP_SP500.t";"CPI_Excl_Tabac.lag_3";14,96;-471,55;"Level";"Level";1;1;0,85;0;0,31;0;7;0,8
7,4;4,7;0;"SP_SP500.lag_1";"INSEE_ProductionIndustrielle_France.t";11,35;414,42;"Level";"Level";1;1;0,81;0;0,84;0;18;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"INSEE_PIBFR.pct.t";607,81;87,71;"Level";"Growth_rate";1;1;0,79;1;0,68;0;53;0,83
7,4;4,8;0;"SP_SP500.t";"PIB_Reel.pct.t";15,18;-625,16;"Level";"Growth_rate";1;1;0,75;1;0,53;0;6;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"PIB_Reel.pct.t";635,55;-250,04;"Level";"Growth_rate";1;1;0,71;1;0,57;0;42;0,83
7,4;4,8;0;"RDB_Nominal.lag_12";"INSEE_PIBFR.pct.lag_1";607,93;83,61;"Level";"Growth_rate";1;1;0,81;1;0,68;0;52;0,83
7,4;4,8;0;"RDB_Nominal.lag_12";"PIB_Reel.pct.lag_1";622,53;-88,39;"Level";"Growth_rate";1;1;0,72;1;0,58;0;48;0,83
7,4;4,8;0;"SP_SP500.t";"Spread5Y3M.t";14,04;-1042,13;"Level";"Level";1;1;0,14;1;0,12;0;10;0,8
7,4;4,8;0;"SP_SP500.t";"Spread10Y3M.t";13,91;-635,67;"Level";"Level";1;1;-0,04;1;0,14;0;9;0,8
7,4;4,8;0;"SP_SP500.t";"Spread5Y6M.t";14,13;-1267,48;"Level";"Level";1;1;0,2;1;0,14;0;11;0,8
7,4;4,8;0;"SP_SP500.t";"Spread10Y6M.t";13,94;-729,56;"Level";"Level";1;1;0,01;1;0,14;0;10;0,8
7,4;5;0;"SP_SP500.t";"Spread5Y3M.lag_1";13,98;-1419,87;"Level";"Level";1;1;0,04;1;0,06;0;15;0,8
7,4;4,8;0;"SP_SP500.t";"Spread10Y3M.lag_1";13,84;-787,3;"Level";"Level";1;1;-0,11;1;0,09;0;11;0,8
7,4;5,1;0;"SP_SP500.t";"Spread5Y6M.lag_1";14,07;-1589,78;"Level";"Level";1;1;0,1;1;0,07;0;16;0,8
7,4;4,8;0;"SP_SP500.t";"Spread10Y6M.lag_1";13,87;-860,41;"Level";"Level";1;1;-0,07;1;0,1;0;12;0,8
7,4;4,7;0;"SP_SP500.t";"SpreadOat10Y3M.t";13,63;-748,52;"Level";"Level";1;1;-0,27;1;0,08;0;14;0,8
7,4;4,7;0;"SP_SP500.t";"SpreadOAT10Y6M.t";13,65;-808,38;"Level";"Level";1;1;-0,24;1;0,09;0;15;0,8
7,4;4,8;0;"SP_SP500.t";"SpreadOat10Y3M.lag_1";13,52;-828,34;"Level";"Level";1;1;-0,32;1;0,04;0;17;0,8
7,4;4,8;0;"SP_SP500.t";"SpreadOAT10Y6M.lag_1";13,54;-875,45;"Level";"Level";1;1;-0,29;1;0,04;0;18;0,8
