RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
7,0;6,9;0,0;INSEE_ConfianceMenagesFR.lag_12;EUSA10_Curncy.Diff.lag_12;599,67;1104,94;Level;Difference;1;1,0;0,13;0;0,8;0;97;0,84;-2029,0395013103043
7,7;4,8;0,0;SP_SP500.lag_1;EUR003M_Index.Diff.lag_12;14,08;-3543,06;Level;Difference;1;1,0;0,22;1;0,83;0;28;0,79;-2041,8415079439924
5,5;4,5;0,0;EUROSTAT_GDPEuroArea.lag_3;INSEE_ProductionIndustrielle_France.Diff.lag_3;0,06;9,62;Level;Difference;1;1,0;0,11;0;0,46;0;16;0,89;-2043,473196712034
6,9;11,0;0,0;RDB_Nominal.lag_12;CPI_Excl_Tabac.pct.lag_12;603,57;-1111,81;Level;Growth_rate;1;1,0;-0,14;1;0,95;0;49;0,84;-2044,9424328241569
5,8;7,3;0,0;INSEE_ConsommationFinaleMenagesFR.t;Chomage.pct.lag_12;0,79;130,46;Level;Growth_rate;1;1,0;-0,83;0;0,28;0;14;0,87;-2047,2533909673793
7,6;12,2;0,0;INSEE_ConfianceMenagesFR.lag_3;EUROSTAT_GDPEuroArea.Diff.lag_1;584,94;-0,06;Level;Difference;1;1,0;0,53;0;0,06;0;23;0,77;-2061,8943618261137
11,9;13,3;0,03;EURONEXT_CAC40.t;INSEE_ProductionIndustrielle_France.pct.t;7,71;-12,15;Level;Growth_rate;1;1,0;0,5;0;0,53;0;37;0,51;-2072,3250207026003
5,9;7,8;0,0;INSEE_ConsommationFinaleMenagesFR.t;RDB_Nominal.Diff.lag_3;0,68;254,32;Level;Difference;1;1,0;0,61;0;0,22;0;10;0,87;-2073,748635769558
5,7;4,1;0,0;EUROSTAT_GDPEuroArea.lag_12;INSEE_PIBFR.pct.lag_12;0,07;607,81;Level;Growth_rate;1;1,0;0,72;0;0,7;0;11;0,89;-2080,9032659182562
5,7;4,8;0,0;EUROSTAT_GDPEuroArea.lag_12;EURONEXT_CAC40.pct.lag_1;0,07;-27,37;Level;Growth_rate;1;1,0;-0,09;1;0,74;0;4;0,89;-2083,697540397607
5,4;6,2;0,0;EUROSTAT_GDPEuroArea.t;Chomage.Diff.lag_3;0,06;-1522,4;Level;Difference;1;1,0;-0,34;0;0,29;0;32;0,89;-2085,7349438056117
5,4;4,6;0,0;EUROSTAT_GDPEuroArea.t;Chomage.pct.lag_12;0,07;156,62;Level;Growth_rate;1;1,0;-0,83;0;0,89;0;52;0,89;-2097,2069107549623
6,1;4,2;0,0;RDB_Nominal.t;Spread5Y3M.t;448,85;-197,38;Level;Level;1;1,0;0,09;1;0,95;0;5;0,87;-2099,1630113772717
5,4;5,7;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;Chomage.Diff.lag_3;0,8;-1015,61;Level;Difference;1;1,0;-0,36;0;0,7;1;1;0,89;-2103,8610743045406
7,2;9,8;0,0;EUR003M_Index.lag_12;EURONEXT_CAC40.pct.lag_1;-17356,86;-69,46;Level;Growth_rate;1;1,0;-0,02;1;0,6;0;32;0,82;-2131,376786417447
5,6;5,2;0,0;EUROSTAT_GDPEuroArea.lag_1;BBG_TauxOat10Y.pct.lag_12;0,06;4,09;Level;Growth_rate;1;1,0;0,29;0;0,25;1;2;0,88;-2136,28640882128
