Date;pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9;pred_10;pred_11;pred_12;pred_13;pred_14;pred_15;pred_16;pred_17;pred_18;pred_19;pred_20;pred_21;pred_22;pred_23;pred_24;pred_25;pred_26;pred_27;pred_28;pred_29;pred_30;pred_31;pred_32;pred_33;pred_34;pred_35;pred_36;pred_37;pred_38;pred_39
31/03/2015;28783,86923741886;28090,888000000003;27808,63038;24740,679166666683;25007,10130000001;26046,610629999996;27504,908800000005;32020,87381;31773,699400000005;26159,16934222223;26217,549100000004;24280,597510852815;25334,31764;28173,407257735504;23561,426593333323;27804,84637;24898,780979999996;26000,150192409666;26500,130000000005;25991,117895890435;25131,187685649198;23570,695193333348;21903,259709999984;23053,021039999963;23579,482540000026;23477,830140000005;22820,744877615944;23129,646869999997;23510,68565999999;23300,755000000005;23007,17742;22146,90611764707;23178,197592252196;24140,49428;23851,30189390952;23188,293329499997;23534,642999999982;21970,473600000012;23038,693140999996;22557,78104
30/04/2015;29018,21269499272;29422,4722;29199,583759999998;24873,572499999995;24677,05236666667;26249,42912333332;26713,480500000005;31332,20201;31108,746700000003;26159,280106301376;24836,616499999975;24431,467441443696;26257,131540000002;29656,948206349207;24172,96286;26022,78598;24939,99725999999;24644,52790899147;26684,76999999999;24628,49617362427;25381,429485604607;24019,689379999996;22372,22497999997;24128,94603999998;23679,33348;23796,393633333326;23068,891145098052;23595,6340376;24025,21061333333;23389,764999999985;22729,51802;22546,790454545437;23567,436588528682;23354,460124;23851,337079662917;23604,679999999993;23645,79574999999;22397,28093790001;23687,089649999994;22950,586811
31/05/2015;29253,303302609045;29540,298899999998;29343,296739999998;24964,349166666652;24924,011433333304;26452,24761666666;26901,34455000001;30245,912386;30331,152850000006;26291,70956941176;25348,8113;24129,288480985582;26701,01722;29732,130389409558;24565,09581333332;26368,705369999996;24981,213540000004;25530,33399585227;26785,439999999988;25518,93768723405;25692,218532786883;24065,385566666657;22812,808313333313;24149,18565499998;24027,77971999999;24133,230626666627;23318,049571666634;23867,15974039999;24178,202106666635;23478,774999999965;23826,477095000002;22953,26000000001;23647,129269419747;23194,464807;24102,687533127202;23730,88332949998;23756,94849999997;22931,244462100003;23810,4673245;23296,178589000003
30/06/2015;29488,393912118652;28840,6272;28696,973559999995;25340,780833333338;25312,71190000001;26655,06611;27089,208600000013;29273,743836999998;29553,559000000005;26291,70937333333;26230,836049999984;23826,535513186544;27106,247450000003;28982,493119999992;24957,228766666638;26017,149150000012;25022,429819999998;26416,1859837636;26882,649999999994;26409,36846965883;25063,274235427278;24111,081753333347;23253,391646666656;24149,18565499998;24050,387480000005;24454,404619999987;23566,656225326646;24023,211229000008;24529,12812000001;23910,571000000025;24981,15977;23358,308705882344;23727,891998446183;24499,694320000002;24102,78240453999;23707,3266705;24210,88725000003;23465,208000000013;23871,6623025;23710,445260000008
31/07/2015;28939,10913092397;28419,243399999996;28087,041879999997;25403,39;25214,063599999994;26865,177253333328;27991,56570000002;30758,947636999997;30987,609700000005;26291,61718285714;26394,90724999999;23524,429443280787;27208,78526;28231,260096463022;25433,983540000016;26902,76734000002;25120,157939999997;26577,24997169571;26978,12999999999;26571,25931593607;25641,824;24100,60624;23602,720419999998;24417,182429999986;24120,09474;24684,830416666664;23988,943790725258;23856,2760424;24738,44551666666;24030,802999999985;24592,83134;23768,579999999987;23810,15353328675;24820,782870000003;24104,424792212667;23833,529999999984;24317,69954999999;23333,85306210001;23493,89730299999;23775,217688999983
31/08/2015;27919,957497192834;29649,6928;29656,676844999995;25495,2825;25550,7849;27007,456876666678;27006,4599;28562,054219999998;28296,091900000003;26526,01470500001;27122,941099999996;23674,618206559353;28303,73301;29942,17164613778;25794,082389999996;26550,003920000003;25217,886059999997;26899,403441531933;27104,219999999987;26895,03328979964;23772,48996078431;24313,67928666665;24049,820420000004;24427,718119999976;24631,14108500001;24767,371388333355;24409,43484341883;24098,13797760001;24955,841873333353;24151,034999999974;26088,237155;24178,119999999995;24055,996751805447;25266,77337;24547,95200247169;24022,426670500005;24422,660594999965;23751,27133790002;24103,047108000013;23891,496291000018
30/09/2015;26900,80588846668;27303,7492;27455,42035;25844,42;25403,439199999993;27149,7365;26397,408500000005;26734,46527;26922,4471;26525,927037746485;26267,608799999987;23826,00299824761;27982,89526;27428,985203954133;26154,18123999999;26904,86738000001;25315,614179999997;26792,027323997114;27230,310000000012;26787,11362711864;23031,3528261563;24526,752333333352;24496,92042000001;24427,718119999976;24662,69775000002;24859,049109999993;24831,198118551634;24059,72265000001;24927,839820000023;24579,96100000001;27140,28137;24587,668505747133;24313,203056146755;27076,454115;24550,50997176359;24311,163329499977;24836,315639999986;23992,36960000002;23947,336439999985;23982,021800000002
31/10/2015;27534,825947954065;26590,373199999998;26485,546535999998;25956,415833333303;25727,873833333302;27135,15210666666;26744,28115000001;28814,612895000002;28571,9428;26525,875746666672;25931,646600000007;23978,5905589506;27876,779916;26273,957486842104;26607,149464000002;26628,114260000002;25388,238899999997;26228,303207201476;27359,86;26220,468961032864;25294,14926070039;24683,653680000003;24714,601853333326;24901,50718799999;24732,593408000015;24955,10269000003;24731,85153421323;24459,559472600013;25100,990560000006;24714,417999999947;26594,598110000003;24748,300000000017;24561,485340272222;27098,630925;24548,647377943416;24749,660000000003;24955,857249999943;24085,995137900012;24288,430129500004;24363,585151000007
30/11/2015;27035,767052259267;27680,0998;27876,343657999994;26051,861666666664;26432,382066666658;27150,244003333326;27705,088799999998;30361,704659999996;30221,4385;26705,851440000013;26929,461899999995;24280,430199634327;29096,453428;27742,286533497878;26994,23727866664;27149,811759999997;25460,86361999999;26671,244391967775;27337,140000000014;26665,685857311182;25309,352896785105;25053,628073333348;24888,851853333355;24878,661375999975;25187,03237400003;24700,044019999972;24632,48941635838;24747,794977399986;24793,443179999973;24848,87499999997;27089,5514;24909,680000000022;24917,84936932;27195,947675;24891,499489254493;24987,153329499997;25067,69332999998;24179,620662100002;24693,01592549999;24633,551808999997
31/12/2015;27578,124216685585;29051,406100000004;29267,14078;26435,14750000002;26359,82150000002;27169,575370000006;26487,986000000004;28349,91406;28278,9376;26706,140106666673;26368,885300000024;24583,184632332595;30316,12694;29212,552979810265;27381,32509333332;26081,712939999998;25533,48833999999;26120,942162122956;27310,959999999992;26112,54253455845;24791,38742268041;25434,83680666666;25063,101853333326;24878,661375999975;25303,273940000014;24779,78197499999;24532,655884283915;25036,030495;24874,695749999984;25328,74000000002;27243,50909;25069,546363636357;25270,993441595972;26850,7804;24892,88130931533;25374,4066705;25533,499110000004;24707,734400000016;25622,539482000007;24736,123460000003
31/01/2016;27670,080925099723;26936,9906;27650,413379999998;26506,076666666675;26366,493066666677;27701,816290000002;26147,274550000002;26739,778405;26970,942550000003;26706,230594929584;25801,44550000003;24884,855080439993;30085,59454;27337,231892351276;27895,270460000014;27031,12469000001;25633,318139999996;26201,47393428246;27279,589999999997;26193,498112816218;23319,447225181597;26108,138379999997;25410,71763333332;25285,975409999985;25359,793340000004;25018,509995;24739,083073967602;25257,0898724;25178,807439999975;25466,415000000008;28163,61937;25429,572888888884;25633,731219707595;27827,5447275;24894,17317515178;25661,820000000007;25676,18922500001;25217,33486209999;25107,662565000006;25332,065789
29/02/2016;27760,810524697372;26163,0083;26969,9819;26620,80583333336;26287,599833333355;28234,05721;25593,732300000003;25906,7704575;25662,947500000002;27333,658801978017;25642,719650000014;24884,92097161086;30072,80769;26508,050346135722;28194,370493333336;27131,829360000003;25733,147939999995;25933,052570249012;27719,15999999999;25923,657509414043;23204,29047761194;26512,57462;25805,400966666668;25285,975409999985;26608,812450000027;25231,133015;24944,431312452827;25839,197320100007;25438,484850000008;25604,090000000026;28642,59885;25795,320224719122;26106,129696523058;28518,253255;26085,80547154948;26172,1233295;25818,879340000014;25726,93533790001;25630,131200999997;25713,399131000013
31/03/2016;27135,953280254827;25389,026;26280,81646;27080,172500000015;27022,55370000002;28600,958800000008;25868,658200000005;26405,066057499997;26144,0809;27333,815574520544;25957,189450000034;24884,979870337083;30060,020839999997;25676,32717105263;28493,470526666686;27369,49274;25832,977739999995;26241,758153869276;28144,889999999985;26233,955525082012;25015,935284768206;26478,8716;26200,084299999988;25285,975409999985;26667,21583;25205,547909999994;25149,455399230792;26421,304755000005;25420,448009999993;26155,330000000016;29121,57833;26155,324301075278;26590,564699038878;28696,560935;26089,283274257556;26582,586670499993;26360,979300000006;26104,854399999997;26724,20749500001;25884,415640000007
30/04/2016;27969,478638510853;26139,7298;26345,926776000004;27205,155833333352;27465,401300000012;28909,980556666662;25240,4056;26274,96201;26382,08665;27334,372047605633;24954,44279999999;24885,980428544746;29656,686936;25863,540177897576;28590,720444000006;25718,554644999982;25872,617759999986;24939,823742370674;28575,809999999998;24925,312435955944;25093,24016806723;27006,885580000002;26497,45206999997;26693,377697999967;26540,23557800002;25635,500774166663;25296,03250547324;26879,714347400004;25906,76993666665;26228,350999999995;28814,26416;26332,637021276576;27078,853504043116;29124,6828125;26088,036416106042;26993,04999999999;26434,27364999999;26607,498262099994;26933,527692000003;26458,501218999998
31/05/2016;28805,703599851808;26499,0625;26477,602553;27257,705833333355;27166,735300000015;29219,00231333333;25610,820600000006;26596,9246725;26620,0924;26957,55671000002;25252,297449999984;25037,911033286495;28506,559948000002;26216,70609473684;28047,151742000016;26447,29669999999;25912,25778;25275,27022700326;28695,22;25262,591701670317;25543,1105;27669,332226666666;26690,685403333307;26756,203680999984;25599,816559000028;26044,56963833337;25443,869679800264;27390,357440100008;26207,275783333345;26301,372000000003;28897,43183;26507,940210526343;26842,04905773257;29262,94506;25371,369706891623;26718,87999999999;26507,568;27110,14213790001;26707,415561999995;26978,934561000016
30/06/2016;28587,108147798284;26828,1913;26614,373139999996;27455,73083333335;27439,928300000014;29320,290039999993;25446,44159999999;24923,5338725;25004,3362;26957,58122036868;26209,37944999998;25189,301139565236;27356,432960000002;26566,44902884615;27503,583040000012;28082,492329999994;25951,89779999999;26214,810130799364;28825,00999999998;26206,982701412548;25569,328281407037;27781,296213333328;26883,918736666674;26756,203680999984;25372,702770000033;26063,695065000007;25591,42758090148;27901,00052;26319,945810000034;26548,96299999999;29017,1767;26687,28430107527;26608,378952551473;29511,910658;25372,885326392163;26744,229999999996;26741,85837;27862,385200000004;26316,18402;27565,896680000005
