RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
13,9;7,1;0,05;EURONEXT_CAC40.lag_1;CPI_Excl_Tabac.pct.t;5,11;208,45;Level;Growth_rate;1;1,0;0,71;0;0,46;0;29;0,53;-1,4867977282347566
14,0;9,3;0,01;INSEE_ConsommationFinaleMenagesFR.t;INSEE_InvestEntreprisesNonFinancieresFR.Diff.t;0,48;-0,5;Level;Difference;1;1,0;0,45;0;0,0;0;0;0,52;-1,486856244569975
14,1;5,1;0,03;EURONEXT_CAC40.t;EUR003M_Index.Diff.lag_3;5,11;2731,64;Level;Difference;1;1,0;0,32;0;0,28;0;33;0,51;-1,4884077121216603
13,6;21,6;0,04;RDB_Nominal.pct.lag_1;CPI_Excl_Tabac.pct.lag_12;2426,65;1278,54;Growth_rate;Growth_rate;1;1,0;0,32;1;0,0;0;57;0,57;-1,4928654048965253
11,3;20,5;0,02;INSEE_InvestEntreprisesNonFinancieresFR.t;Spread10Y6M.pct.t;0,65;-0,23;Level;Growth_rate;1;1,0;0,15;1;0,57;0;30;0,67;-1,4947515554557378
13,6;7,0;0,08;SP_SP500.t;INSEE_ConsommationFinaleMenagesFR.Diff.lag_12;4,93;0,0;Level;Difference;1;1,0;-0,03;0;0,23;0;10;0,52;-1,4949911586280606
13,1;8,9;0,01;CPI_Excl_Tabac.lag_12;EUR006M_Index.pct.lag_3;2032,75;0,99;Level;Growth_rate;1;1,0;-0,08;0;0,26;0;8;0,58;-1,4952913879442806
13,5;18,8;0,05;SP_SP500.lag_1;EUR006M_Index.Diff.lag_1;4,71;1950,35;Level;Difference;1;1,0;0,35;0;0,56;0;10;0,53;-1,4953888196354046
13,9;13,6;0,05;RDB_Nominal.pct.t;EUR006M_Index.pct.t;2540,36;1,14;Growth_rate;Growth_rate;1;1,0;-0,14;0;0,02;0;18;0,53;-1,4963567351433325
10,9;18,2;0,01;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;Spread6M3M.pct.lag_12;0,69;-5,18;Level;Growth_rate;1;1,0;0,29;0;0,49;0;18;0,7;-1,4967882054927442
13,4;42,1;0,04;RDB_Nominal.pct.lag_1;Spread6M3M.pct.lag_3;2813,12;-1,4;Growth_rate;Growth_rate;1;1,0;0,54;1;0,02;0;25;0,56;-1,499679421633953
13,9;21,3;0,0;INSEE_PIBFR.t;Spread10Y3M.pct.lag_12;0,21;-4,97;Level;Growth_rate;1;1,0;0,39;1;0,0;0;0;0,55;-1,4997270272424759
13,9;13,9;0,05;RDB_Nominal.pct.t;Spread5Y6M.Diff.lag_3;2506,53;328,38;Growth_rate;Difference;1;1,0;0,03;0;0,01;0;17;0,53;-1,4997986633625096
13,9;6,7;0,05;EURONEXT_CAC40.lag_1;SpreadOat10Y3M.pct.lag_1;5,53;-1,62;Level;Growth_rate;1;1,0;0,25;0;0,98;0;34;0,53;-1,4998129496312607
13,9;6,3;0,0;INSEE_PIBFR.t;Spread10Y6M.Diff.lag_3;0,2;-1808,21;Level;Difference;1;1,0;0,11;0;0,0;0;0;0,55;-1,4998193756017848
13,8;7,0;0,06;EURONEXT_CAC40.lag_1;EUR003M_Index.pct.lag_1;5,48;0,46;Level;Growth_rate;1;1,0;-0,17;0;0,45;0;33;0,53;-1,4998303981148586
13,8;13,7;0,04;RDB_Nominal.pct.t;Chomage.Diff.lag_3;2499,11;-891,17;Growth_rate;Difference;1;1,0;-0,05;0;0,0;0;14;0,53;-1,5000241295916896
13,8;6,8;0,06;EURONEXT_CAC40.lag_1;Chomage.Diff.t;5,35;-1108,73;Level;Difference;1;1,0;-0,16;0;0,94;0;27;0,53;-1,5011731271965023
13,1;9,9;0,07;CPI_Excl_Tabac.lag_12;EURONEXT_CAC40.pct.lag_1;2010,9;-16,25;Level;Growth_rate;1;1,0;-0,1;0;0,2;0;8;0,58;-1,5019246965887598
12,1;20,0;0,05;EURONEXT_CAC40.t;SP_SP500.lag_12;1,98;3,96;Level;Level;1;1,0;0,82;1;0,85;0;8;0,61;-1,5026510483903834
14,2;32,1;0,01;CPI_Excl_Tabac.lag_1;INSEE_ConsommationFinaleMenagesFR.Diff.lag_1;1233,13;0,01;Level;Difference;1;1,0;0,01;0;0,98;0;27;0,53;-1,5037275487341417
13,7;7,2;0,01;INSEE_ConsommationFinaleMenagesFR.lag_1;EURONEXT_CAC40.pct.lag_3;0,44;-89,65;Level;Growth_rate;1;1,0;0,11;0;0,0;0;0;0,54;-1,5089936808203914
14,1;6,1;0,05;EURONEXT_CAC40.t;SpreadOAT10Y6M.pct.lag_3;5,32;-0,11;Level;Growth_rate;1;1,0;0,01;1;0,43;0;33;0,51;-1,5103804812208836
12,2;5,5;0,02;EURONEXT_CAC40.t;Spread6M3M.lag_12;3,48;-61350,08;Level;Level;1;1,0;-0,61;1;0,23;0;83;0,61;-1,5125230489987431
14,0;5,6;0,02;EURONEXT_CAC40.t;STOXX_EUROSTOXX50.lag_3;6,21;-2,58;Level;Level;1;1,0;0,79;1;0,01;0;23;0,52;-1,5131288454702188
13,9;157,2;0,05;EURONEXT_CAC40.lag_1;EUSA5_Curncy.pct.t;5,33;-0,01;Level;Growth_rate;1;1,0;-0,19;0;0,69;0;34;0,53;-1,513157776429189
14,0;6,3;0,0;INSEE_PIBFR.t;STOXX_EUROSTOXX50.lag_3;0,19;1,22;Level;Level;1;1,0;0,62;0;0,0;0;0;0,55;-1,5141032607738296
11,1;12,4;0,03;RDB_Nominal.lag_3;INSEE_ProductionIndustrielle_France.pct.t;188,62;17,23;Level;Growth_rate;1;1,0;0,02;1;0,9;0;7;0,67;-1,515272447011681
11,1;14,3;0,03;RDB_Nominal.t;SpreadOat10Y3M.pct.lag_12;180,35;-2,6;Level;Growth_rate;1;1,0;0,27;0;0,79;0;7;0,67;-1,516624548798049
14,2;18,3;0,0;PIB_Reel.t;Spread5Y6M.t;201,53;-3207,77;Level;Level;1;1,0;0,35;1;0,0;0;0;0,53;-1,5170110417659144
14,2;34,2;0,04;CPI_Excl_Tabac.t;SpreadOAT10Y6M.pct.lag_12;1191,28;0,12;Level;Growth_rate;1;1,0;-0,04;0;0,63;0;21;0,53;-1,5183569190333
9,8;13,4;0,01;RDB_Nominal.lag_3;INSEE_ProductionIndustrielle_France.t;195,42;301,34;Level;Level;1;1,0;-0,11;1;0,0;0;14;0,74;-1,5187212007361017
14,1;29,0;0,01;CPI_Excl_Tabac.lag_3;PIB_Reel.Diff.lag_1;1350,03;-1,64;Level;Difference;1;1,0;0,0;0;0,88;0;26;0,53;-1,5187402148254705
9,9;21,9;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUR003M_Index.Diff.lag_1;0,8;-5903,34;Level;Difference;1;1,0;0,6;0;0,15;0;0;0,74;-1,5191271458505247
12,4;4,6;0,0;INSEE_PIBFR.t;INSEE_ConsommationFinaleMenagesFR.Diff.t;0,23;-0,23;Level;Difference;1;1,0;0,35;1;0,0;0;0;0,65;-1,519601481663694
12,5;12,6;0,14;CPI_Excl_Tabac.lag_12;RDB_Nominal.Diff.lag_3;1797,09;399,89;Level;Difference;1;1,0;0,42;1;0,2;0;10;0,61;-1,5198027321194827
14,0;6,3;0,0;INSEE_PIBFR.t;Spread10Y6M.pct.lag_1;0,2;0,24;Level;Growth_rate;1;1,0;0,08;0;0,0;0;0;0,55;-1,521032083885269
14,1;6,3;0,04;EURONEXT_CAC40.t;INSEE_InvestEntreprisesNonFinancieresFR.Diff.lag_3;5,34;-0,02;Level;Difference;1;1,0;0,27;0;0,59;0;35;0,51;-1,5217979986207255
13,6;12,8;0,05;RDB_Nominal.pct.lag_1;EUR003M_Index.pct.lag_12;2598,33;-0,08;Growth_rate;Growth_rate;1;1,0;0,04;0;0,04;0;29;0,55;-1,5221786220018232
13,7;7,5;0,05;EURONEXT_CAC40.lag_1;SpreadOat10Y3M.pct.lag_12;5,68;-3,16;Level;Growth_rate;1;1,0;0,32;1;0,73;0;37;0,54;-1,5223177849225635
14,0;31,6;0,03;CPI_Excl_Tabac.lag_1;EUR006M_Index.pct.t;1267,74;1,83;Level;Growth_rate;1;1,0;-0,19;0;0,73;0;25;0,54;-1,5226334942407314
15,0;8,3;0,0;INSEE_ConsommationFinaleMenagesFR.t;SpreadOAT10Y6M.pct.lag_1;0,41;0,19;Level;Growth_rate;1;1,0;-0,08;1;0,0;0;0;0,47;-1,522975208405399
12,4;22,1;0,01;SP_SP500.lag_12;Spread5Y6M.pct.lag_3;5,7;-1,34;Level;Growth_rate;1;1,0;0,38;0;0,71;0;8;0,59;-1,5231439593051008
13,6;16,0;0,05;RDB_Nominal.pct.lag_1;EUSA5_Curncy.Diff.t;2666,93;-715,0;Growth_rate;Difference;1;1,0;0,51;0;0,04;0;33;0,55;-1,523932371989925
13,9;5,9;0,0;INSEE_PIBFR.t;INSEE_ConfianceMenagesFR.pct.lag_12;0,2;52,99;Level;Growth_rate;1;1,0;-0,16;0;0,0;0;0;0,55;-1,5264527224112632
14,7;8,4;0,0;INSEE_ConsommationFinaleMenagesFR.t;PIB_Reel.Diff.lag_12;0,43;-45,03;Level;Difference;1;1,0;0,21;1;0,0;0;0;0,49;-1,526461099583516
13,8;6,8;0,05;EURONEXT_CAC40.lag_1;SpreadOAT10Y6M.pct.lag_1;5,45;-0,17;Level;Growth_rate;1;1,0;0,07;1;0,78;0;34;0,53;-1,5266488030174057
22,0;39,9;0,15;Spread5Y3M.lag_1;EURONEXT_CAC40.pct.lag_1;1702,23;-52,36;Level;Growth_rate;1;1,0;0,07;0;0,03;0;4;0,01;-1,5272723590959392
14,0;6,8;0,0;INSEE_PIBFR.t;Spread5Y6M.Diff.lag_3;0,2;-1610,49;Level;Difference;1;1,0;0,13;0;0,0;0;0;0,55;-1,5272983448468156
14,0;5,1;0,04;EURONEXT_CAC40.t;RDB_Nominal.Diff.lag_1;4,91;206,03;Level;Difference;1;1,0;0,49;0;0,15;0;30;0,52;-1,5285628828322575
13,7;31,7;0,01;CPI_Excl_Tabac.lag_3;EURONEXT_CAC40.pct.lag_3;1343,82;-46,95;Level;Growth_rate;1;1,0;-0,03;1;0,49;0;28;0,55;-1,5291079629054054
12,4;21,5;0,04;SP_SP500.lag_12;EURONEXT_CAC40.Diff.lag_3;5,58;1,03;Level;Difference;1;1,0;-0,12;0;0,81;0;8;0,59;-1,5295655764911271
13,6;6,2;0,0;INSEE_PIBFR.lag_1;INSEE_ConfianceMenagesFR.pct.lag_3;0,19;-125,33;Level;Growth_rate;1;1,0;-0,21;1;0,0;0;0;0,59;-1,5295684398330103
13,5;12,6;0,05;RDB_Nominal.pct.lag_1;Spread5Y3M.Diff.lag_12;2666,56;-2674,18;Growth_rate;Difference;1;1,0;0,28;0;0,01;0;27;0,55;-1,5303650400679838
14,1;6,2;0,0;INSEE_PIBFR.t;EUR003M_Index.pct.lag_1;0,2;-0,08;Level;Growth_rate;1;1,0;-0,09;0;0,0;0;0;0,55;-1,5305747819646736
14,9;8,1;0,0;INSEE_ConsommationFinaleMenagesFR.t;Spread10Y3M.pct.t;0,4;3,98;Level;Growth_rate;1;1,0;0,28;0;0,0;0;0;0,47;-1,5310204979585431
14,0;6,9;0,0;INSEE_PIBFR.t;Spread5Y3M.Diff.lag_3;0,2;-1052,85;Level;Difference;1;1,0;0,19;0;0,0;0;0;0,55;-1,5323590641574105
11,2;9,0;0,0;Chomage.lag_1;INSEE_ConfianceMenagesFR.pct.lag_12;-4697,4;103,02;Level;Growth_rate;1;1,0;0,21;1;0,06;0;95;0,68;-1,5323661601151892
13,6;13,5;0,06;STOXX_EUROSTOXX50.lag_1;RDB_Nominal.pct.lag_1;0,7;2505,73;Level;Growth_rate;1;1,0;0,63;0;0,06;0;25;0,55;-1,5341387863428753
14,0;31,9;0,08;CPI_Excl_Tabac.t;EURONEXT_CAC40.Diff.lag_12;1212,39;-1,43;Level;Difference;1;1,0;0,16;1;0,94;0;16;0,53;-1,5347635142910683
14,1;6,2;0,04;EURONEXT_CAC40.t;SpreadOat10Y3M.pct.lag_3;5,44;-1,42;Level;Growth_rate;1;1,0;0,32;0;0,48;0;37;0,51;-1,5350023537673052
10,5;24,5;0,02;INSEE_InvestEntreprisesNonFinancieresFR.t;INSEE_PIBFR.Diff.t;0,68;-0,07;Level;Difference;1;1,0;0,23;0;0,04;0;69;0,71;-1,535454214080454
14,1;52,2;0,04;EURONEXT_CAC40.t;Spread6M3M.lag_3;5,3;2619,2;Level;Level;1;1,0;0,06;0;0,2;0;33;0,51;-1,539463647160503
13,8;6,0;0,03;Chomage.lag_12;RDB_Nominal.Diff.lag_3;-3954,87;477,62;Level;Difference;1;1,0;-0,39;1;0,67;0;22;0,57;-1,5402024283211215
13,8;14,3;0,04;RDB_Nominal.pct.t;INSEE_ProductionIndustrielle_France.Diff.lag_3;2537,85;-63,5;Growth_rate;Difference;1;1,0;0,13;0;0,08;0;20;0,53;-1,540328919430236
14,1;6,7;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;EURONEXT_CAC40.pct.lag_1;0,43;-65,81;Level;Growth_rate;1;1,0;0,06;0;0,0;0;0;0,52;-1,5404855094887768
12,4;6,4;0,0;Chomage.lag_3;EUSA5_Curncy.pct.lag_3;-4511,0;0,39;Level;Growth_rate;1;1,0;0,25;1;0,62;0;39;0,62;-1,5412725100213729
13,3;6,8;0,02;INSEE_ConsommationFinaleMenagesFR.t;PIB_Reel.Diff.lag_1;0,49;-100,97;Level;Difference;1;1,0;0,41;0;0,0;0;0;0,57;-1,5435988248266432
14,1;7,1;0,0;PIB_Reel.lag_1;INSEE_PIBFR.pct.lag_3;208,82;-284,98;Level;Growth_rate;1;1,0;0,4;1;0,0;0;0;0,54;-1,5436165390537182
18,5;14,9;0,12;STOXX_EUROSTOXX50.lag_1;INSEE_ProductionIndustrielle_France.lag_1;8,08;170,39;Level;Level;1;1,0;0,16;0;0,01;0;12;0,26;-1,5441696101174651
13,5;12,2;0,05;RDB_Nominal.pct.lag_1;SP_SP500.Diff.t;2616,83;1,5;Growth_rate;Difference;1;1,0;-0,11;0;0,06;0;26;0,55;-1,5444542994876462
14,1;6,9;0,04;EURONEXT_CAC40.t;CPI_Excl_Tabac.Diff.t;5,51;-358,51;Level;Difference;1;1,0;0,6;1;0,38;0;36;0,51;-1,5461169560652501
12,4;7,4;0,0;INSEE_ConsommationFinaleMenagesFR.t;Spread10Y3M.lag_12;0,37;-4398,98;Level;Level;1;1,0;-0,21;1;0,0;0;4;0,58;-1,5462575580009754
10,0;15,9;0,01;INSEE_InvestEntreprisesNonFinancieresFR.t;Spread10Y6M.lag_1;0,64;-2868,31;Level;Level;1;1,0;-0,01;1;0,19;0;19;0,72;-1,5467403686722179
13,8;9,5;0,06;SP_SP500.lag_3;Spread10Y6M.lag_12;5,33;1122,29;Level;Level;1;1,0;-0,65;0;0,0;0;11;0,53;-1,5490324740995076
13,2;20,0;0,03;RDB_Nominal.pct.t;INSEE_ConfianceMenagesFR.Diff.t;2494,69;-257,87;Growth_rate;Difference;1;1,0;-0,02;1;0,49;0;20;0,56;-1,5504371498849547
18,7;13,9;0,06;STOXX_EUROSTOXX50.t;EUSA5_Curncy.pct.lag_1;7,76;-1,42;Level;Growth_rate;1;1,0;-0,13;0;0,02;0;24;0,24;-1,551965797330527
11,2;9,0;0,0;CPI_Excl_Tabac.lag_12;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;714,86;0,58;Level;Level;1;1,0;0,85;0;0,02;0;21;0,67;-1,5530372455020727
14,0;15,0;0,05;EURONEXT_CAC40.t;Spread5Y3M.lag_3;5,34;-379,09;Level;Level;1;1,0;0,14;0;0,7;0;35;0,51;-1,5536671302735328
