"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
13,3;16,5;0;"RDB_Nominal.pct.t";"PIB_Reel.pct.lag_3";2722,32;-220,5;"Growth_rate";"Growth_rate";1;1;0,35;1;0,46;0;29;0,55
13,3;17,3;0,05;"RDB_Nominal.pct.lag_1";"STOXX_EUROSTOXX50.Diff.lag_3";2601,61;-2,46;"Growth_rate";"Difference";1;1;0,01;1;0,28;0;34;0,56
13,3;20,9;0,06;"RDB_Nominal.pct.lag_1";"SP_SP500.pct.lag_3";2587,81;-52,08;"Growth_rate";"Growth_rate";1;1;-0,02;1;0,17;0;31;0,56
13,3;23,2;0,07;"RDB_Nominal.pct.lag_1";"EUROSTAT_GDPEuroArea.pct.lag_12";2567,96;205,34;"Growth_rate";"Growth_rate";1;1;0,07;1;0,07;0;43;0,57
13,3;22,4;0,07;"RDB_Nominal.pct.lag_1";"INSEE_InvestEntreprisesNonFinancieresFR.pct.lag_12";2507,89;128,13;"Growth_rate";"Growth_rate";1;1;0,18;1;0,05;0;30;0,57
13,3;12,9;0,04;"RDB_Nominal.pct.lag_1";"Spread10Y3M.pct.lag_12";2771,87;-8,23;"Growth_rate";"Growth_rate";1;1;0,43;1;0,19;0;29;0,56
13,3;12,3;0,03;"Spread5Y3M.t";"EURONEXT_CAC40.lag_3";-2814,78;5,97;"Level";"Level";1;1;0,4;1;0,25;0;44;0,55
13,3;13,7;0,01;"Spread5Y3M.lag_1";"EURONEXT_CAC40.lag_3";-2427,19;5,84;"Level";"Level";1;1;0,35;1;0,19;0;35;0,54
13,3;14,6;0;"Spread5Y6M.lag_1";"INSEE_PIBFR.lag_3";-2420,64;0,21;"Level";"Level";1;1;0,28;1;0;0;0;0,57
13,3;7,5;0;"Spread5Y3M.t";"RDB_Nominal.pct.lag_12";-1021,28;3052,17;"Level";"Growth_rate";1;1;0,25;0;0,14;0;6;0,58
13,3;8,6;0;"Spread5Y6M.t";"RDB_Nominal.pct.lag_12";-965,45;3024,59;"Level";"Growth_rate";1;1;0,19;0;0,14;0;6;0,58
13,4;8,2;0;"RDB_Nominal.pct.lag_12";"";2984,07;NA;"Growth_rate";NA;1;NA;0;1;0,06;0;5;0,58
13,4;6,5;0;"INSEE_PIBFR.lag_1";"Chomage.pct.t";0,18;-163,79;"Level";"Growth_rate";1;1;-0,5;0;0;0;0;0,57
13,4;7,4;0;"INSEE_ConsommationFinaleMenagesFR.lag_1";"INSEE_PIBFR.pct.lag_3";0,5;-378,45;"Level";"Growth_rate";1;1;0,47;1;0;0;0;0,56
13,4;11,7;0,01;"INSEE_PIBFR.lag_1";"STOXX_EUROSTOXX50.pct.lag_12";0,2;-53,56;"Level";"Growth_rate";1;1;-0,01;1;0;0;0;0,57
13,4;10,5;0,01;"STOXX_EUROSTOXX50.t";"SP_SP500.lag_3";-1,95;5,52;"Level";"Level";1;1;0,72;1;0,4;0;8;0,53
13,4;5,4;0;"STOXX_EUROSTOXX50.t";"INSEE_ConsommationFinaleMenagesFR.lag_3";4,34;0,38;"Level";"Level";1;1;0,35;1;0;0;0;0,57
13,4;9,9;0,08;"STOXX_EUROSTOXX50.lag_1";"EUSA10_Curncy.lag_12";2,79;-5130,38;"Level";"Level";1;1;-0,57;0;0,54;0;1;0,47
13,4;18,9;0;"INSEE_PIBFR.t";"INSEE_ConfianceMenagesFR.t";0,19;121,83;"Level";"Level";1;1;0,2;1;0;0;0;0,57
13,4;20,1;0;"INSEE_ConsommationFinaleMenagesFR.t";"INSEE_ConfianceMenagesFR.lag_3";0,37;208,16;"Level";"Level";1;1;0,26;1;0;0;0;0,52
13,4;22,4;0;"INSEE_PIBFR.t";"Spread5Y3M.t";0,22;-2381,69;"Level";"Level";1;1;0,36;1;0;0;0;0,57
13,4;24,5;0;"INSEE_PIBFR.t";"Spread5Y3M.lag_1";0,22;-2418,78;"Level";"Level";1;1;0,34;1;0;0;0;0,57
13,4;18,3;0;"INSEE_ConsommationFinaleMenagesFR.t";"Spread10Y3M.t";0,44;-3465,74;"Level";"Level";1;1;0,15;1;0;0;0;0,55
13,4;6,6;0,04;"INSEE_ConsommationFinaleMenagesFR.t";"INSEE_PIBFR.Diff.lag_1";0,5;-0,12;"Level";"Difference";1;1;0,44;0;0;0;0;0,56
13,4;10,4;0;"PIB_Reel.t";"INSEE_ConfianceMenagesFR.Diff.t";190,35;-367,82;"Level";"Difference";1;1;0,08;0;0;0;0;0,56
13,4;7,4;0;"PIB_Reel.t";"EUROSTAT_GDPEuroArea.pct.t";224,07;-507,11;"Level";"Growth_rate";1;1;0,48;1;0;0;0;0,58
13,4;6,3;0;"PIB_Reel.t";"PIB_Reel.pct.lag_1";224,04;-389,36;"Level";"Growth_rate";1;1;0,49;1;0;0;0;0,57
13,4;7,2;0;"PIB_Reel.lag_1";"Chomage.pct.t";162,46;-309,96;"Level";"Growth_rate";1;1;-0,35;0;0;0;0;0,57
13,4;9,9;0;"INSEE_ConsommationFinaleMenagesFR.t";"INSEE_ConfianceMenagesFR.pct.t";0,39;-211,91;"Level";"Growth_rate";1;1;-0,13;1;0;0;0;0,56
13,4;7,5;0;"PIB_Reel.lag_1";"EUROSTAT_GDPEuroArea.pct.lag_1";225,69;-503,61;"Level";"Growth_rate";1;1;0,48;1;0;0;0;0,58
13,4;7;0;"INSEE_PIBFR.t";"EUROSTAT_GDPEuroArea.pct.lag_3";0,22;-339,62;"Level";"Growth_rate";1;1;0,38;1;0;0;0;0,59
13,4;35,3;0,1;"SP_SP500.t";"EUSA5_Curncy.t";4,93;-321,35;"Level";"Level";1;1;0,01;1;0,72;0;10;0,52
13,4;33,5;0,1;"SP_SP500.t";"EUSA5_Curncy.lag_1";4,91;-351,68;"Level";"Level";1;1;-0,07;1;0,72;0;10;0,52
13,4;88,6;0,08;"SP_SP500.lag_1";"EUR006M_Index.t";4,93;-381,01;"Level";"Level";1;1;-0,08;0;0,48;0;11;0,52
13,4;75,5;0,1;"SP_SP500.t";"EUR003M_Index.t";4,88;-541,32;"Level";"Level";1;1;-0,15;0;0,47;0;10;0,52
13,4;78,5;0,1;"SP_SP500.t";"EUR006M_Index.lag_1";4,87;-539,31;"Level";"Level";1;1;-0,19;0;0,44;0;10;0,52
